Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Row / En
bande",**,',**,',**,',"$1,003",b,$840,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Apt &
Other /
App. &
autres",$579,a,$696,a,$849,a,$977,c,$770,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Total,$578,a,$696,a,$849,a,$980,c,$771,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Row / En
bande",**,',**,',**,',"$1,003",c,$840,c
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Apt &
Other /
App. &
autres",$596,a,$751,a,$984,a,"$1,176",b,$886,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Total,$595,a,$750,a,$984,a,"$1,167",b,$886,a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Apt &
Other /
App. &
autres",$586,b,$941,d,$968,b,$952,a,$949,b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Total,$586,b,$941,d,$968,b,$952,a,$949,b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Row / En
bande",--,',--,',--,',**,',**,'
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Apt &
Other /
App. &
autres",**,',$939,c,"$1,456",a,"$1,695",c,"$1,314",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Total,**,',$939,c,"$1,456",a,"$1,505",c,"$1,310",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Row / En
bande",--,',--,',--,',**,',**,'
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Apt &
Other /
App. &
autres",$589,b,$940,c,"$1,154",a,"$1,012",a,"$1,061",a
