Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Apt &
Other /
App. &
autres",$626,b,$699,a,$802,a,$818,b,$755,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Total,$626,b,$699,a,$802,a,$818,b,$755,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Apt &
Other /
App. &
autres",$626,b,$699,a,$802,a,$818,b,$755,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,Total,$626,b,$699,a,$802,a,$818,b,$755,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Apt &
Other /
App. &
autres",**,,$642,a,$807,a,**,,$829,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Total,**,,$642,a,$807,a,**,,$829,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Row / En
bande",--,,--,,**,,--,,**,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Apt &
Other /
App. &
autres",**,,$680,b,$866,a,$1001,a,$855,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Total,**,,$680,b,$874,a,$1001,a,$861,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Row / En
bande",--,,**,,**,,--,,**,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Apt &
Other /
App. &
autres",$684,a,$664,a,$786,a,**,,$766,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Total,$684,a,$664,a,$784,a,**,,$765,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Apt &
Other /
App. &
autres",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Total,--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Row / En
bande",--,,**,,$844,c,--,,$844,d
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Apt &
Other /
App. &
autres",$664,b,$665,a,$808,a,$1014,b,$795,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,Total,$664,b,$665,a,$809,a,$1014,b,$795,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Apt &
Other /
App. &
autres",$602,a,$657,b,$785,a,$911,d,$736,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Total,$602,a,$657,b,$785,a,$911,d,$736,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Apt &
Other /
App. &
autres",--,,$844,a,$957,a,**,,$945,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,Total,--,,$844,a,$957,a,**,,$945,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,"Apt &
Other /
App. &
autres",$602,a,$684,a,$843,a,$937,c,$790,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Total,Total,$602,a,$684,a,$843,a,$937,c,$790,a
N.B./N.-B.,Moncton,Riverview,Riverview,"Row / En
bande",--,,**,,**,,**,,**,
N.B./N.-B.,Moncton,Riverview,Riverview,"Apt &
Other /
App. &
autres",**,,$754,c,$836,a,$1135,c,$834,a
N.B./N.-B.,Moncton,Riverview,Riverview,Total,**,,$751,c,$847,a,$1034,c,$845,a
N.B./N.-B.,Moncton,Riverview,Total,"Row / En
bande",--,,**,,**,,**,,**,
N.B./N.-B.,Moncton,Riverview,Total,"Apt &
Other /
App. &
autres",**,,$754,c,$836,a,$1135,c,$834,a
